inputtool,outputtools
samtools_rmdup,"cuffdiff,samtool_filter2,varscan_somatic,bamleftalign,peakcalling_macs,samtools_flagstat,picard_MarkDuplicates,stringtie,modencode_peakcalling_macs2,fastqc,gatk_realigner_target_creator,htseq_count,samtools_mpileup,deeptools_multi_bam_summary,sam_merge2,cufflinks,deeptools_bamFingerprint,rseqc_bam_stat,CONVERTER_bam_to_bigwig_0,samtools_sort,bedtools_intersectbed,samtools_stats,samtools_depth,bam2wig,picard_CollectInsertSizeMetrics,gatk2_realigner_target_creator,macs2_callpeak,gatk2_indel_realigner,bedtools_bamtobed,gatk_indel_realigner,deeptools_bamCorrelate,bedtools_multicovtbed,qualimap_rnaseq,deeptools_computeGCBias,freebayes,pileometh,bam_to_sam,deeptools_bam_coverage,deeptools_bamCoverage,featurecounts,picard_MergeSamFiles,cuffnorm,rseqc_bam2wig,bamCoverage_deepTools,ngsutils_bam_filter,rseqc_infer_experiment,samtools_idxstats,methtools_calling,deeptools_bamCompare,deeptools_bam_compare"
HighResPrecursorMassCorrector,"FileFilter,XTandemAdapter,MSGFPlusAdapter"
ConsensusID,"IDMerger,PeptideIndexer,FileInfo"
MSGFPlusAdapter,"PeptideIndexer,FileInfo,IDMerger,IDPosteriorErrorProbability,ConsensusID"
FileFilter,"MapRTTransformer,FileInfo,MSGFPlusAdapter,MultiplexResolver,IDConflictResolver,xcms-find-peaks,MapAlignerPoseClustering,FileMerger,FeatureFinderMultiplex"
MapRTTransformer,"FeatureLinkerUnlabeledKD,FeatureLinkerUnlabeledQT"
FeatureLinkerUnlabeledQT,"IDConflictResolver,FileInfo"
IDConflictResolver,"FileInfo,MultiplexResolver,ProteinQuantifier,FileMerger,ConsensusMapNormalizer,FileFilter,ConsensusID"
ConsensusMapNormalizer,"TextExporter,MzTabExporter,FileInfo"
unicycler,"antismash,mlst,abricate,quast,bandage_image,prokka,glimmer_build-icm,transdecoder,fasta_filter_by_length,kraken2,metaphlan2,PlasFlow,nanoplot,bandage_info,staramr_search,freebayes,ncbi_blastn_wrapper,minimap2,sam_to_bam,bcftools_consensus,bowtie2,bwa_mem,glimmer_knowlegde-based"
prinseq,"cat1,hisat2,fastqc,trimmomatic,spades,bowtie2"
cuffmerge,"cuffcompare,cuffdiff,featurecounts,gff2bed1,cuffquant,CONVERTER_gff_to_bed_0,cuffnorm,gffread,gffcompare,deseq2,Cut1,Grep1"
Extract_features1,"gtf_filter_by_attribute_values_list,comp1,tp_grep_tool,regex_replace,Grep1"
picard_MarkDuplicates,"genrich,samtool_filter2,picard_ReorderSam,bamleftalign,naive_variant_caller,gatk_table_recalibration,samtools_flagstat,gatk4_mutect2,diffbind,snpEff_build_gb,fastqc,modencode_peakcalling_spp,gatk2_haplotype_caller,deeptools_multi_bam_summary,samtools_mpileup,igvtools_count,htseq_count,qualimap_bamqc,bamtools,gatk_realigner_target_creator,deeptools_bamFingerprint,gatk2_unified_genotyper,bedtools_genomecoveragebed_histogram,samtools_sort,picard_AddOrReplaceReadGroups,deeptools_bam_pe_fragmentsize,bedtools_intersectbed,samtools_stats,samtools_depth,picard_CollectInsertSizeMetrics,multiqc,gatk2_base_recalibrator,bedtools_genomecoveragebed,lofreq_viterbi,gatk2_indel_realigner,macs2_callpeak,gatk2_realigner_target_creator,samtools_merge,lofreq_call,bedtools_bamtobed,gatk_indel_realigner,picard_CollectGcBiasMetrics,deeptools_bamCorrelate,deeptools_plot_fingerprint,deeptools_computeGCBias,freebayes_wrapper,gatk_unified_genotyper,freebayes,NFS_transfer,picard_CASM,samtools_rmdup,pileometh,deeptools_alignmentsieve,bam_to_sam,deeptools_bam_coverage,deeptools_bamCoverage,featurecounts,bamFilter,deeptools_compute_gc_bias,picard_CleanSam,samtools_filter,gatk_count_covariates,gatk2_print_reads,pilon,samtools_idxstats,ngsutils_bam_filter,deeptools_bamCompare,bedtools_genomecoveragebed_bedgraph,deeptools_bam_compare"
bedtools_mergebed,"Extract genomic DNA 1,chipseeker,Add_a_column1,Paste1,tp_awk_tool,bed2gff1,bedtools_getfastabed,gops_intersect_1,bedtools_intersectbed,Filter1,deeptools_compute_matrix,bedtools_multicovtbed,join1,addValue,CONVERTER_bed_gff_or_vcf_to_bigwig_0,deeptools_multi_bigwig_summary,bedtools_slopbed,bedtools_annotatebed"
kraken2,"tp_sort_header_tool,taxonomy_krona_chart,kraken-mpa-report,trinity,biom_convert,Filter1,kraken-report,Cut1,krona-text,kraken-translate,datamash_reverse"
htseq_count,"cat1,comp1,tp_awk_tool,edger,tp_cut_tool,deseq2,deseq2_single,Add_a_column1,iuc_deseq2,Filter1,collection_column_join,multiqc,addValue,histogram_rpy,Cut1,Grouping1,sort1,tp_sort_rows,hgv_david,tp_easyjoin_tool,tp_sort_header_tool,featurecounts,tp_multijoin_tool,join1"
ncbi_blastn_wrapper,"Fetch Taxonomic Ranks,tp_sort_header_tool,Grouping1,comp1,filter_tabular,blastxml_to_tabular,seq_filter_by_id,blastxml_to_top_descr,random_lines1,sort1,tp_sorted_uniq,Filter1,multiqc,Show beginning1,Cut1,Grep1"
MultiplexResolver,"MzTabExporter,ProteinQuantifier,FileInfo,FileMerger"
MzTabExporter,"Filter1,Grep1"
column_remove_by_header,"Remove beginning1,Show tail1,tp_multijoin_tool,addValue,ggplot2_heatmap2"
Summary_Statistics1,"cat1,Paste1,Filter1,datamash_transpose,tp_cut_tool,Cut1"
rna_starsolo,"dropletutils,multiqc"
dropletutils,"scanpy_cluster_reduce_dimension,scanpy_plot,Convert characters1,raceid_filtnormconf,scanpy_read_10x,anndata_import,seurat_read10x"
seurat_read10x,"seurat_create_seurat_object,seurat_normalise_data"
seurat_normalise_data,seurat_find_variable_genes
seurat_find_variable_genes,seurat_scale_data
seurat_scale_data,"seurat_dim_plot,seurat_run_pca"
seurat_run_pca,"seurat_find_clusters,seurat_dim_plot"
seurat_find_clusters,seurat_run_tsne
seurat_run_tsne,"seurat_dim_plot,seurat_export_cellbrowser,seurat_find_markers"
seurat_find_markers,seurat_export_cellbrowser
stringtie_merge,"featurecounts,bedtools_getfastabed,gffread,gffcompare,qualimap_rnaseq,stringtie"
openbabel_compound_convert,"cat1,tp_find_and_replace,padel,docking,rdock_rbdock,chembl,ambertools_acpype,ctb_rdkit_descriptors,ctb_chemfp_mol2fps,split_file_to_collection,ambertools_antechamber,openbabel_genProp,prepare_box,rdock_rbcavity,tp_cut_tool,ctb_simsearch,tp_cat"
docking,"openbabel_compound_convert,sdf_to_tab,split_file_to_collection"
seurat_create_seurat_object,"seurat_filter_cells,seurat_normalise_data"
seurat_filter_cells,seurat_normalise_data
tp_multijoin_tool,"tp_easyjoin_tool,bg_statistical_hypothesis_testing,ggplot2_point,tp_sort_header_tool,Add_a_column1,Convert characters1,Filter1,edger,join1,scatterplot_rpy,XY_Plot_1,Cut1,tp_cat"
je_demultiplex,"__FLATTEN__,cat1,merge_pcr_duplicates.py,__FILTER_FAILED_DATASETS__,bwa,wc_gnu,tp_awk_tool,fastqc,trimmomatic,coords2clnt.py,extract_aln_ends.py,deeptools_multi_bam_summary,rna_star,trim_galore,bedtools_genomecoveragebed_bedgraph,cutadapt,bctools_remove_spurious_events"
__FILTER_FAILED_DATASETS__,"collapse_dataset,bwa,fastqc,umi_tools_dedup,vg_view,infernal_cmsearch,trim_galore"
snippy,"Remove beginning1,qualimap_bamqc,find_in_reference,__ZIP_COLLECTION__,jbrowse,snpSift_annotate,snippy_core,bedtools_intersectbed,tb_profiler_profile,tb_variant_filter,vcfvcfintersect,freebayes,vcfcombine"
get_flanks1,"gops_intersect_1,bedtools_bedtobam,bedtools_intersectbed_bam,tp_cat,cshl_find_and_replace,CONVERTER_interval_to_bed_0,cshl_awk_tool,bedtools_intersectbed,tp_tac,Filter1,CONVERTER_interval_to_bedstrict_0,addValue,gops_subtract_1,Grouping1,bedtools_windowbed,deeptools_compute_matrix,Count1,Extract genomic DNA 1,tp_easyjoin_tool,bedtools_subtractbed,gops_join_1,bedtools_genomecoveragebed_bedgraph"
ncbi_makeblastdb,"ncbi_tblastn_wrapper,ncbi_blastp_wrapper,ncbi_blastn_wrapper"
bg_sortmerna,"megahit,fastq_paired_end_deinterlacer,hisat2,fasta2tab,fastq_to_fasta_python,cshl_fastq_to_fasta,fastq_paired_end_interlacer,kallisto_quant,trimmomatic,trim_galore,humann2,bowtie2,tp_cat"
humann2,"group_humann2_uniref_abundances_to_go,combine_metaphlan2_humann2,humann2_regroup_table,humann2_renorm_table,Grep1,humann2_genefamilies_genus_level"
mass_spectrometry_imaging_filtering,"mass_spectrometry_imaging_combine,cardinal_preprocessing,cardinal_quality_report,cardinal_mz_images,datamash_transpose,cardinal_classification,mass_spectrometry_imaging_preprocessing,cardinal_segmentations"
hmmer_hmmbuild,hmmer_hmmsearch
hmmer_hmmsearch,tp_awk_tool
mycrobiota-split-multi-otutable,iReport
picard_ReorderSam,"sam_merge2,gatk2_indel_realigner,gatk2_realigner_target_creator,samtools_flagstat,NFS_transfer,picard_CASM,freebayes,modencode_peakcalling_spp,bedtools_genomecoveragebed_bedgraph,picard_ARRG,samtools_mpileup"
gatk2_indel_realigner,"lofreq_call,gatk2_unified_genotyper,gatk2_depth_of_coverage,gatk_count_covariates,gatk2_print_reads,gatk2_base_recalibrator,gatk2_haplotype_caller"
gatk2_print_reads,"gatk2_unified_genotyper,bedtools_genomecoveragebed,gatk2_haplotype_caller,gatk2_reduce_reads"
gatk2_reduce_reads,gatk2_haplotype_caller
gatk2_haplotype_caller,"vcftools_slice,snpEff,gatk2_variant_select,gatk2_variant_recalibrator,gatk2_variant_apply_recalibration"
gatk2_variant_recalibrator,gatk2_variant_apply_recalibration
transdecoder,"ncbi_blastn_wrapper,intarna,blast_reciprocal_best_hits,busco,bg_diamond,fasta2tab,wolf_psort,Extract_features1,ncbi_blastp_wrapper,fasta_merge_files_and_filter_unique_sequences,ncbi_makeblastdb,cd_hit_protein,trinotate,hmmer_jackhmmer"
cardinal_preprocessing,"maldi_quant_preprocessing,mass_spectrometry_imaging_filtering,cardinal_quality_report,cardinal_mz_images,cardinal_data_exporter,cardinal_combine,cardinal_spectra_plots,cardinal_classification,cardinal_filtering,cardinal_segmentations"
cardinal_classification,"Filter1,tp_head_tool"
join_files_on_column_fuzzy,"secure_hash_message_digest,regexColumn1,tp_sorted_uniq,Summary_Statistics1,cardinal_mz_images,datamash_transpose,scatterplot_rpy,histogram_rpy,Grep1"
mimodd_vcf_filter,"snpEff,mimodd_map,vcfvcfintersect"
snpEff,"snpSift_filter,snpeff_to_peptides,gemini_load,cshl_word_list_grep,bedtools_bed12tobed6,samtools_mpileup,Add_a_column1,snpSift_annotate,vcffilter2,vcfvcfintersect,vcf_filter,Show tail1,freebayes,snpSift_extractFields,vcfbreakcreatemulti,snpSift_int,mimodd_varreport,snpSift_geneSets,vcf2tsv,mimodd_rebase,vcfcombine"
stacks_procrad,"bwa_wrapper,bwa,fastqc,stacks_denovomap,fastq_filter,Grep1"
bwa,"picard_SortSam,samtool_filter2,samtools_flagstat,picard_MarkDuplicates,deeptools_multi_bam_summary,samtools_mpileup,__FLATTEN__,CONVERTER_bam_to_bigwig_0,samtools_sort,mimodd_varcall,samtools_stats,bedtools_genomecoveragebed,macs2_callpeak,samtools_view,deeptools_plot_fingerprint,freebayes,samtools_rmdup,picard_ARRG,bam_to_sam,deeptools_bam_coverage,featurecounts,bamFilter,samtools_filter,samtools_flag_filter,samtools_idxstats,ngsutils_bam_filter,stacks_refmap,deeptools_bam_compare"
stacks_refmap,stacks_populations
stacks_populations,"Summary_Statistics1,Filter1,tp_sort_header_tool,Count1"
flexbar_split_RR_bcs,"extract_bcs.py,flexbardsc"
flexbardsc,"secretbt2test,hisat2"
coords2clnt.py,"tp_awk_tool,tp_cut_tool,piranha,bedtools_genomecoveragebed_bedgraph,tp_cat"
tp_cut_tool,"tp_sorted_uniq,gtf_filter_by_attribute_values_list,cat1,__FILTER_FROM_FILE__,comp1,Paste1,addName,get_flanks1,sed_stream_editor,tp_awk_tool,Convert characters1,random_lines1,gops_intersect_1,fastq_dump,edger,table_compute,deseq2,regex_replace,egsea,plotly_ml_performance_plots,tp_cat,tp_head_tool,Remove beginning1,sklearn_ensemble,tp_replace_in_line,ggplot2_point,Add_a_column1,bedtools_intersectbed,Filter1,collection_column_join,picard_FilterSamReads,XY_Plot_1,__RELABEL_FROM_FILE__,addValue,annotatemyids,Cut1,venn_list,pathview,bg_uniq,tab2fasta,vcfsort,tp_grep_tool,heinz_scoring,melt,uniprot,sort1,bedtools_getfastabed,ChangeCase,tp_sorted_uniq,scatterplot_rpy,Show beginning1,ggplot2_heatmap2,ncbi_acc_download,seqtk_subseq,gops_merge_1,limma_voom,Extract genomic DNA 1,tp_easyjoin_tool,metilene,tp_sort_header_tool,nn_classifier,tabular_to_fastq,annotateMyIDs,tp_uniq_tool,tp_tail_tool,join1,ggplot2_pca,rseqc_infer_experiment,gops_join_1,heinz_bum,sklearn_svm_classifier"
picard_SortSam,"sam_merge2,samtool_filter2,flaimapper,picard_AddOrReplaceReadGroups,pilon,rgPicardMarkDups,picard_MarkDuplicates,picard_CollectRnaSeqMetrics,samtools_rmdup"
gatk2_unified_genotyper,"gatk2_variant_select,gatk2_depth_of_coverage"
rmcontamination,"scaffold2fasta,fasta_compute_length,EMBOSS: geecee41,EMBOSS: transeq101,aragorn_trna,seq_composition,augustus"
bedtools_bamtofastq,"flye,unicycler,fastq_manipulation,cshl_fastq_to_fasta,fastq_to_fasta_python,velveth,fastqc,tophat2"
fastq_to_fasta_python,"fasta2tab,fraggenescan,racon,mothur_make_group,wtdbg,idba_hybrid,miniasm,Grep1,tp_cat,tp_replace_in_line,seqtk_mergepe,fasta-stats,fasta_compute_length,cshl_fastx_reverse_complement,qiime_pick_rep_set,megablast_wrapper,ssake,vsearch_clustering,fasta_merge_files_and_filter_unique_sequences,infernal_cmsearch,seqtk_sample,fasta_filter_by_length,trimmer,mothur_summary_seqs,metaphlan2,mothur_merge_files,vsearch_sorting,seqtk_subseq,ncbi_blastn_wrapper,cshl_fasta_nucleotides_changer,minimap2,mothur_unique_seqs,vsearch_dereplication,mothur_screen_seqs,metagene_annotator,cshl_fastx_collapser,qiime_align_seqs,bowtie2,qiime_pick_otus"
thermo_raw_file_converter,"proteomics_moff,FileConverter,fasta_merge_files_and_filter_unique_sequences,search_gui"
FileConverter,search_gui
ctb_multi_obgrep,ctb_stripit
bamFilter,"samtools_fastx,varscan_somatic,samtools_flagstat,picard_MarkDuplicates,deeptools_multi_bam_summary,samtools_mpileup,htseq_count,sam_merge2,samtools_sort,bedtools_intersectbed,samtools_stats,picard_FilterSamReads,bedtools_bamtofastq,bedtools_genomecoveragebed,macs2_callpeak,bedtools_bamtobed,freebayes,umi_tools_count,samtools_rmdup,bam_to_sam,deeptools_bam_coverage,featurecounts,picard_CleanSam,umi_tools_dedup,extract_aln_ends.py,samtools_idxstats,deeptools_bam_compare"
varscan_somatic,"snpEff,vcfallelicprimitives,vt_normalize,gemini_annotate,vcffilter2,bcftools_norm"
gemini_load,"gemini_actionable_mutations,gemini_pathways,gemini_inheritance,gemini_stats,gemini_annotate,gemini_recessive_and_dominant,gemini_burden,gemini_comp_hets,gemini_query,gemini_de_novo,gemini_interactions,gemini_db_info,gemini_windower"
gemini_annotate,"gemini_actionable_mutations,gemini_query,gemini_db_info"
gemini_query,"tp_easyjoin_tool,Grouping1,comp1,tp_tail_tool,join1,collection_column_join,Cut1,tp_cat"
preproc,"gspan,viennarna_rnafold,NSPDK_candidateClust,nspdk_sparse,fasplit,glob_report,preMloc,infernal_cmsearch,locarna_best_subtree,graphclust_glob_report_no_align"
nspdk_sparse,"NSPDK_candidateClust,tp_cat"
NSPDK_candidateClust,"preMloc,tp_awk_tool"
preMloc,"glob_report,graphclust_glob_report_no_align,cmFinder,locarna_best_subtree"
locarna_best_subtree,cmFinder
cmFinder,infernal_cmbuild
infernal_cmbuild,"cmv,infernal_cmsearch,__FILTER_FAILED_DATASETS__,infernal_cmstat"
bedtools_annotatebed,numeric_clustering
query_tabular,"tab2fasta,cat1,checkFormat,sort1,sqlite_to_tabular,Filter1,unipept,tp_head_tool,w4mclassfilter,tp_cat"
tp_find_and_replace,"tp_sort_header_tool,cat1,Add_a_column1,Paste1,fasta2tab,Convert characters1,CONVERTER_interval_to_bed_0,tp_tail_tool,gops_intersect_1,bedtools_intersectbed,Filter1,mimodd_varcall,__RELABEL_FROM_FILE__,ggplot2_heatmap2,annotatemyids,fasta_filter_by_length,Cut1,Grep1,tp_cat"
blastxml_to_tabular,"tab2fasta,Filter1"
_ensembl_gtf2gene_list,"scanpy_filter_genes,alevin,scanpy_read_10x"
scanpy_read_10x,"scanpy_filter_cells,scanpy_normalise_data"
scanpy_filter_cells,"scanpy_filter_genes,scanpy_compute_graph"
scanpy_filter_genes,"sccaf_regress_out,scanpy_normalise_data"
scanpy_normalise_data,"scanpy_run_pca,scanpy_find_variable_genes,scanpy_find_cluster,sceasy_convert,scanpy_regress_variable"
scanpy_find_variable_genes,"scanpy_run_pca,scanpy_scale_data,scanpy_compute_graph,sccaf_regress_out,scanpy_plot,scanpy_filter_genes"
scanpy_run_pca,"scanpy_run_tsne,scanpy_compute_graph,scanpy_plot_embed,scanpy_plot"
scanpy_compute_graph,"scanpy_find_markers,scanpy_run_tsne,scanpy_run_umap,scanpy_find_cluster"
bedtools_sortbed,"Extract genomic DNA 1,tp_sort_header_tool,bedtools_map,Add_a_column1,wc_gnu,pygenomeTracks,bedtools_intersectbed,bedtools_multiintersectbed,addValue,bedtools_bedtobam,bedtools_genomecoveragebed_bedgraph,tp_cut_tool,bedtools_complementbed,bedtools_mergebed,deeptools_compute_matrix,bedtools_genomecoveragebed,bcftools_view,tp_cat"
bedtools_genomecoveragebed,"wig_to_bigWig,Summary_Statistics1,Filter1,bedtools_unionbedgraph,datamash_ops,Cut1"
bedtools_bamtobed,"snpEff,get_flanks1,bed2gff1,tp_awk_tool,coords2clnt.py,collection_element_identifiers,bedtools_mergebed,tp_cat,merge_pcr_duplicates.py,Add_a_column1,peakcalling_sicer,DatamashOps,bedtools_sortbed,bedtools_intersectbed,Filter1,bedtools_genomecoveragebed,bedtools_slopbed,macs2_callpeak,sort1,Extract genomic DNA 1,join1,__TAG_FROM_FILE__"
p_clip_peaks,tp_awk_tool
bismark_deduplicate,"samtools_sort,bismark_pretty_report,rgPicardMarkDups,methtools_calling,bismark_methylation_extractor"
deeptools_bam_coverage,"tp_easyjoin_tool,tp_sort_header_tool,jbrowse,sort1,Summary_Statistics1,deeptools_compute_matrix,deeptools_computeMatrix,deeptools_bigwig_compare,NFS_transfer,deeptools_multi_bigwig_summary"
deeptools_compute_matrix,"Remove beginning1,deeptools_plot_profile,Paste1,deeptools_plot_heatmap,Show tail1,deeptools_compute_matrix_operations,deeptools_plot_pca"
augustus_training,augustus
TextExporter,"Filter1,Grep1"
freebayes,"snpEff,vcfallelicprimitives,snpSift_filter,vcffixup,custom_pro_db,gemini_load,bcftools_norm,Remove beginning1,jbrowse,vcfbedintersect,table_annovar,snpSift_annotate,vcffilter2,bedtools_intersectbed,Filter1,vcftools_merge,vcfcheck,vcfvcfintersect,vcffilter,tp_sed_tool,vcf_filter,SnpEff-cds-report,lofreq_filter,snpSift_dbnsfp_generic,tp_tail_tool,vcftools_compare,vcf2tsv,bcftools_plugin_counts,bcftools_consensus,vcfcombine"
vcfbedintersect,"vcfannotate,vcffilter2"
vcffilter2,"snpEff,vcfallelicprimitives,bcftools_stats,vcfbedintersect,table_annovar,bcftools_view,vcfannotate,Filter1,vcf2tsv,vcfselectsamples,vcftools_merge,tp_cut_tool,bcftools_consensus,vcftools_annotate,bcftools_plugin_counts,vcfvcfintersect,bcftools_norm"
vt_normalize,"snpEff,snpSift_annotate,snpSift_filter"
CONVERTER_gz_to_uncompressed,"Extract genomic DNA 1,rna_star,hisat2,bwa,fastq_groomer,fastq_to_fasta_python,cshl_fastx_reverse_complement,trimmer,bedtools_getfastabed,bowtie_wrapper,fastqc,trimmomatic,gffcompare,freebayes_wrapper,bismark_bowtie2,je_demultiplex,bowtie2,tophat2,pileometh"
hicexplorer_hicpca,"hicexplorer_hicplottads,hicexplorer_hicplotmatrix"
cshl_fastx_artifacts_filter,"cshl_fastx_quality_statistics,hisat2,fastq_filter,fastqc,trimmomatic,cshl_fastx_collapser,trim_galore"
DecoyDatabase,"PeptideIndexer,XTandemAdapter,MSGFPlusAdapter,MetaProSIP"
fastq_paired_end_interlacer,"fastq_to_fasta_python,fastqc,velveth,metaphlan2,humann2,spades,mira_assembler,bg_sortmerna"
metaphlan2,"metaphlan2krona,metaphlan_hclust_heatmap,format_metaphlan2_output,humann2,combine_metaphlan2_humann2,export2graphlan"
metaspades,"maxbin2,fraggenescan,metaphlan2,valet,quast,bowtie2"
tp_grep_tool,"__FILTER_FROM_FILE__,comp1,Convert characters1,random_lines1,md_converter,tp_cut_tool,tp_cat,sklearn_ensemble,Remove beginning1,collapse_dataset,hisat2,prepare_receptor,XY_Plot_1,addValue,gmx_setup,bedtools_getfastabed,openbabel_compound_convert,Count1,cshl_fastx_trimmer,fastq_groomer,join1,bowtie2,je_clip"
CONVERTER_bam_to_bigwig_0,"macs2_callpeak,bamFilter,bamleftalign,samtools_sort,picard_MarkDuplicates"
CONVERTER_interval_to_bed_0,"Extract genomic DNA 1,Grouping1,CONVERTER_bed_to_gff_0,bed_to_bigBed,get_flanks1,wig_to_bigWig,bedtools_sortbed,gops_intersect_1,bedtools_intersectbed,bedtools_multiintersectbed,deeptools_computeMatrix,CONVERTER_interval_to_bedstrict_0,tp_tac,Count1,tp_replace_in_column,CONVERTER_bed_gff_or_vcf_to_bigwig_0,bedtools_intersectbed_bam,bedtools_genomecoveragebed_bedgraph"
peakcalling_macs,"Filter1,gops_join_1,Add_a_column1,wig_to_bigWig"
fasterq_dump,"minimap2,featurecounts,bwa,spades,bg_find_subsequences,fastqc,prokka,bowtie2,trimmomatic,nanoplot,fastp,rna_star,trim_galore,tophat2,__APPLY_RULES__,cutadapt"
FidoAdapter,"FileInfo,IDFilter,ProteinQuantifier,FalseDiscoveryRate"
msconvert,"flashlfq,PeakPickerHiRes,peptide_shaker,search_gui"
unipept,"regex_replace,Cut1,tp_replace_in_line,query_tabular"
gatk2_base_recalibrator,"gatk2_print_reads,gatk2_haplotype_caller"
tophat2,"picard_SortSam,cuffdiff,samtool_filter2,Convert characters1,samtools_flagstat,picard_MarkDuplicates,stringtie,fastqc,cufflinks,blockclust,htseq_count,sam_merge2,samtools_mpileup,tp_cat,rseqc_bam_stat,deeptools_multi_bam_summary,jbrowse,cuffquant,rseqc_inner_distance,samtools_sort,filter_bed_on_splice_junctions,je_markdupes,bedtools_intersectbed,samtools_stats,bam2wig,bedtools_bamtobed,rgPicardMarkDups,freebayes_wrapper,freebayes,samtools_rmdup,dexseq_count,picard_QualityScoreDistribution,tophat_fusion_post,deeptools_bam_coverage,deeptools_bamCoverage,featurecounts,bam_to_sam,bamFilter,cuffnorm,rseqc_bam2wig,samtools_idxstats,rseqc_infer_experiment,ngsutils_bam_filter,cuffmerge"
gmx_editconf,"bio3d_rmsd,gmx_solvate,mdanalysis_cosine_analysis,bio3d_pca_visualize,vmd_hbonds,bio3d_rmsf,bio3d_pca"
remove_tail.py,"hisat2,extract_bcs.py,umi_tools_extract,flexbar_split_RR_bcs,rna_star,je_demultiplex,bowtie2"
tp_replace_in_line,"cat1,Paste1,Convert characters1,mass_spectrometry_imaging_classification,gops_intersect_1,gffread,edger,tp_replace_in_column,smf_utils_find-boxes,regex_replace,barchart_gnuplot,tp_cat,Remove beginning1,collapse_dataset,Add_a_column1,jbrowse,CONVERTER_interval_to_bed_0,bedtools_intersectbed,Filter1,CONVERTER_interval_to_bedstrict_0,tp_tac,__RELABEL_FROM_FILE__,addValue,datamash_ops,annotatemyids,fasta_filter_by_length,Cut1,tp_sed_tool,tp_split_on_column,taxonomy_krona_chart,salmon,tp_grep_tool,Show tail1,mass_spectrometry_imaging_filtering,ggplot2_heatmap2,freebayes,limma_voom,proteomics_moff,tp_tail_tool,mergeCols1,cshl_fastx_collapser,__TAG_FROM_FILE__,gops_join_1,bwa_mem"
checkFormat,"quality_metrics,Heatmap,Univariate,Multivariate,Batch_correction"
deeptools_bigwig_compare,deeptools_compute_matrix
deeptools_compute_matrix_operations,"deeptools_plot_heatmap,deeptools_plot_profile"
genrich,"Remove beginning1,pygenomeTracks,tp_awk_tool,Cut1"
wig_to_bigWig,"pygenomeTracks,deeptools_compute_matrix,deeptools_computeMatrix,cshl_word_list_grep,computeMatrix"
__MERGE_COLLECTION__,"collapse_dataset,fastqc,trimmomatic,__RELABEL_FROM_FILE__,multiqc,__SORTLIST__,trim_galore,__APPLY_RULES__"
velvetg,"cat1,hisat2,velvetoptimiser,ncbi_makeblastdb,quast,datamash_ops,bandage_image,bwa_mem,augustus"
velvetoptimiser,"mothur_classify_seqs,mlst,fasta-stats,EMBOSS: getorf42,exonerate,PlasFlow,quast,glimmer_not-knowlegde-based,staramr_search,fasta_filter_by_length,bowtie2,filter_by_fasta_ids"
Count1,"tp_replace_in_line,tp_easyjoin_tool,cat1,tp_sort_header_tool,regionalgam_ab_index,CONVERTER_interval_to_bed_0,DatamashOps,wc_gnu,sort1,barchart_gnuplot,histogram_rpy,regionalgam_flight_curve,Cut1,Show beginning1,charts,krona-text,Grep1,tp_cat"
regionalgam_flight_curve,"ggplot2_point,regionalgam_ab_index"
regionalgam_ab_index,"regionalgam_plot_trend,regionalgam_glmmpql,regionalgam_gls"
regionalgam_glmmpql,regionalgam_gls
regionalgam_gls,"regionalgam_autocor_acf,regionalgam_plot_trend"
vcfcombine,"vcffixup,vcfflatten2,vcfsort,gemini_load"
bamleftalign,"deeptools_bam_coverage,varscan_somatic,samtool_filter2,bamFilter,ivar_variants,ngsutils_bam_filter,rgPicFixMate,freebayes,fastqc,samtools_calmd"
maker,"maker_map_ids,gffread,jcvi_gff_stats"
maker_map_ids,"gffread,jcvi_gff_stats"
porechop,"unicycler,minimap2,fastq_groomer,fastq_to_fasta_python,racon,filtlong,medaka_consensus,nanoplot,fastp,nanopolish_variants,fasta_filter_by_length,fastqc,miniasm"
medaka_consensus,"pilon,quast,bandage_info,bwa_mem,bandage_image"
pilon,"mlst,vcffilter2,quast,snippy,bcftools_call,bandage_info,staramr_search,bandage_image"
annotatemyids,"tp_easyjoin_tool,tp_sorted_uniq,Filter1,join1,egsea,Grep1,limma_voom"
bwa_wrapper,"macs2_callpeak,Grouping1,stacks_refmap,sam_to_bam,deeptools_compute_gc_bias,samtools_flagstat,sam_bw_filter,samtools_idxstats,deeptools_plot_fingerprint,deeptools_correct_gc_bias,picard_FilterSamReads,picard_MergeSamFiles,deeptools_bam_compare,deeptools_multi_bam_summary"
cshl_fastx_collapser,"tp_find_and_replace,fasta2tab,rna_star,fasta_filter_by_length,bowtie2,tp_sed_tool"
CONVERTER_interval_to_bedstrict_0,"Extract genomic DNA 1,cshl_sort_header,CONVERTER_bed_to_fli_0,methtools_plot,gops_join_1,Grouping1,CONVERTER_interval_to_bed_0,tp_tail_tool,gops_intersect_1,deeptools_computeMatrix,tp_replace_in_column,cshl_grep_tool,addValue,barchart_gnuplot"
ctb_online_data_fetch,"sdf_to_tab,tp_grep_tool,ctb_sdf2fps,ctb_remSmall,ctb_change_title"
ctb_remSmall,"ctb_filter,ctb_ob_genProp"
samtools_mpileup,"vcf_filter,snpEff,pileup_interval,varscan_somatic,varscan,bcftools_call,varscan_mpileup,varscan_copynumber,bcftools_view"
